epoch,"X(0,1)","X(0,2)","X(0,3)","X(0,4)"
0,0.16349408534856943,0.2764560864521907,0.28381125193375806,0.23991823975856488
1,0.22465781775804666,0.24183414761836713,0.2509004046137516,0.2401752655322735
2,0.2045287107045834,0.24247937225378477,0.3156354207258958,0.22178040100977972
3,0.3134294789857589,0.19382129575197513,0.25389788036163036,0.3031172523131737
4,0.3514309241221501,0.42565751442542443,0.48381896569178656,0.5113289420421306
5,0.4782566194350903,0.4875488003859153,0.5760945427876253,0.5441269727853628
6,0.4789115988291227,0.5430444304759686,0.5467310148936052,0.5380914646845597
7,0.07500129256110925,0.06649952738617475,0.06680835985506957,0.0712351235632713
8,0.35483824060513425,0.4475952258476844,0.5131911048522362,0.5187606839033273
9,0.35733688086844406,0.431390432211069,0.4379451091472919,0.47580211345966045
10,0.29821069401044115,0.46311132265971255,0.5121652575639578,0.5225449378673847
11,0.4414830808456127,0.5218826926671541,0.5218516395642208,0.5188957328979785
12,0.4012239969693697,0.5253334632286659,0.5435094465429966,0.5447926227863018
13,0.3608497151961693,0.3243944383584536,0.2551567540718959,0.3544804660173563
14,0.458334126495398,0.4914695217059209,0.5169778415789971,0.5733223497867584
15,0.18014858124347832,0.33084502036754904,0.5098378988412711,0.5280791612771841
16,0.23431038031211265,0.3513732359959529,0.4548032201253451,0.5152620847408588
17,0.1804550499870227,0.33845481735009414,0.4284257975908426,0.3584011324323141
18,0.2804136404624352,0.31702537811719456,0.30003648354456974,0.3801880955696106
19,0.4546137846433199,0.4484566138340877,0.47902352343528315,0.5050589967805605
